#,Place name,Category Name,Address,Neighborhood,Street,City,Postal Code,State,Country Code,Website,Emails,Phone,Phone Unformatted,Location,Plus Code,Contacted
2,Kingly Cutz Barbershop,Barber shop,"1041 W Busch Blvd, Tampa, FL 33612",Forest Hills,1041 W Busch Blvd,Tampa,33612,Florida,US,undefined,undefined,(813) 468-4061,18134684061,2 fields,undefined,
8,A J barbershop & Salón Inc.,Barber shop,"1901 W Busch Blvd, Tampa, FL 33612",Forest Hills,1901 W Busch Blvd,Tampa,33612,Florida,US,undefined,undefined,(813) 935-3177,18139353177,2 fields,undefined,
9,Bulls Barbershop,Barber shop,"10007 N Nebraska Ave, Tampa, FL 33612",North Tampa,10007 N Nebraska Ave,Tampa,33612,Florida,US,undefined,undefined,(813) 900-1044,18139001044,2 fields,undefined,
11,Barbers International,Barber shop,"10509 N Nebraska Ave, Tampa, FL 33612",North Tampa,10509 N Nebraska Ave,Tampa,33612,Florida,US,undefined,undefined,(813) 402-2814,18134022814,2 fields,undefined,
12,Celebrity Barbers,Barber shop,"308 E Waters Ave, Tampa, FL 33604",Northwest Tampa,308 E Waters Ave,Tampa,33604,Florida,US,undefined,undefined,(813) 841-5805,18138415805,2 fields,undefined,
13,Fast Fades Barbershop,Barber shop,"1110 E Busch Blvd, Tampa, FL 33612",North Tampa,1110 E Busch Blvd,Tampa,33612,Florida,US,undefined,undefined,(813) 359-7330,18133597330,2 fields,undefined,
14,Crispy Clean Cuts,Barber shop,"5004 S MacDill Ave Unit A, Tampa, FL 33611",South Tampa,5004 S MacDill Ave Unit A,Tampa,33611,Florida,US,undefined,undefined,(813) 443-4506,18134434506,2 fields,undefined,
15,Edson´s Barber Shop,Barber shop,"4007 S MacDill Ave, Tampa, FL 33611",South Tampa,4007 S MacDill Ave,Tampa,33611,Florida,US,undefined,undefined,(813) 297-7805,18132977805,2 fields,undefined,
16,Cass's Corner Barbershop,Barber shop,"5209 S MacDill Ave, Tampa, FL 33611",South Tampa,5209 S MacDill Ave,Tampa,33611,Florida,US,undefined,undefined,(813) 443-0080,18134430080,2 fields,undefined,
17,Gentlemen's Barber Shop,Barber shop,"3401 S MacDill Ave, Tampa, FL 33629",null,3401 S MacDill Ave,Tampa,33629,Florida,US,undefined,undefined,(813) 368-7658,18133687658,2 fields,undefined,
34,Cesar's Barber Shop,Barber shop,"9917 N Florida Ave, Tampa, FL 33612",null,9917 N Florida Ave,Tampa,33612,Florida,US,undefined,undefined,(813) 933-3875,18139333875,2 fields,undefined,
35,Freestylin' Barber & Beauty Shop,Barber shop,"10069 N Florida Ave, Tampa, FL 33612",null,10069 N Florida Ave,Tampa,33612,Florida,US,undefined,undefined,(813) 361-1577,18133611577,2 fields,undefined,
38,Ediley's beauty salon,Beauty salon,"9915 N Florida Ave, Tampa, FL 33612",null,9915 N Florida Ave,Tampa,33612,Florida,US,undefined,undefined,(813) 900-2886,18139002886,2 fields,undefined,
40,Young Brilliant Recording Studio and productions Tampa Florida,Recording studio,"1200 E Busch Blvd, Tampa, FL 33612",North Tampa,1200 E Busch Blvd,Tampa,33612,Florida,US,undefined,undefined,(813) 327-0008,18133270008,2 fields,undefined,
46,Perfect Edge Barbershop,Barber shop,"4923 S West Shore Blvd, Tampa, FL 33611",South Tampa,4923 S West Shore Blvd,Tampa,33611,Florida,US,undefined,undefined,(727) 409-7288,17274097288,2 fields,undefined,
49,Power Circle Barber Shop,Barber shop,"2702 N Florida Ave, Tampa, FL 33602",Tampa Heights,2702 N Florida Ave,Tampa,33602,Florida,US,undefined,undefined,(813) 802-4294,18138024294,2 fields,undefined,
50,Luis's barbershop,Barber shop,"4406 n Melton Ave, Tampa, FL 33614",Northwest Tampa,4406 n Melton Ave,Tampa,33614,Florida,US,undefined,undefined,(813) 644-0209,18136440209,2 fields,undefined,
